dl1,dl2,dl3,x_pcc,y_pcc,z_pcc,x_real,y_real,z_real,dx,dy,dz
0.0,0.0,2.430678,15.41377,-8.899144,108.056072,17.059416,-9.294092,107.127782,1.645646,-0.394948,-0.92829
5.59307,8.111118,0.0,-49.409808,10.814836,92.551714,-63.869844,20.460243,74.709046,-14.460036,9.645407,-17.842668
3.151015,2.26709,0.0,-14.461505,14.860081,107.349473,-15.381213,18.260589,106.846924,-0.919708,3.400508,-0.502549
0.0,4.958989,3.471361,-9.405058,-30.77175,103.451957,-16.095202,-36.394076,99.179531,-6.690144,-5.622326,-4.272425
1.679154,0.0,0.0,0.0,12.32463,109.073957,1.273048,14.08892,109.403661,1.273048,1.76429,0.329704
0.0,5.596593,0.0,-34.453194,-19.891561,99.736328,-43.727137,-16.754061,93.260316,-9.273943,3.1375,-6.476013
1.057424,0.0,6.515811,39.996031,-15.596802,97.896401,52.606174,-16.184517,90.212803,12.610142,-0.587715,-7.683598
4.898872,2.086211,0.0,-13.16048,28.086241,103.935172,-17.896224,35.964976,100.291123,-4.735743,7.878735,-3.644049
3.050734,9.900901,0.0,-57.736572,-12.791881,84.718353,-73.936969,0.400953,58.257827,-16.200397,13.192834,-26.460526
1.750099,0.0,0.0,0.0,12.843424,108.993838,0.856888,14.302564,110.548146,0.856888,1.45914,1.554308
0.0,9.861199,0.0,-55.259758,-31.904236,79.284469,-74.770398,-17.030933,49.662708,-19.51064,14.873303,-29.621761
0.0,0.0,1.022935,6.506554,-3.756561,109.657149,8.922172,-4.085612,110.618452,2.415617,-0.329051,0.961303
0.0,0.0,5.033533,31.225142,-18.027844,101.679992,39.364725,-21.475255,98.481784,8.139584,-3.447411,-3.198208
0.0,0.0,2.483003,15.741947,-9.088617,107.971305,19.909284,-9.198345,106.690035,4.167337,-0.109727,-1.281269
0.0,0.0,5.222157,32.316065,-18.657689,101.050506,41.097935,-21.568072,97.152087,8.781871,-2.910383,-3.898419
0.0,4.244171,0.0,-26.565647,-15.337683,104.073351,-32.869966,-14.106182,102.55455,-6.304319,1.231502,-1.518801
0.0,0.0,5.346713,33.031273,-19.070614,100.622835,41.812178,-21.870689,94.958885,8.780905,-2.800075,-5.66395
8.388446,2.429425,0.0,-14.589052,49.743718,91.536879,-29.640057,60.563553,74.165836,-15.051005,10.819835,-17.371043
0.0,0.0,4.627903,28.848858,-16.655896,102.958813,36.213244,-19.707185,100.112976,7.364386,-3.051289,-2.845837
6.057522,0.0,8.32476,50.479327,13.26945,91.242854,63.545465,30.205858,70.749351,13.066139,16.936408,-20.493503
5.288378,0.0,9.914367,58.443508,2.254359,85.399217,75.747301,15.300211,55.845156,17.303794,13.045852,-29.55406
0.0,2.740711,8.876717,36.56042,-39.964539,89.547154,43.948631,-54.519366,68.972068,7.38821,-14.554827,-20.575086
4.745163,0.0,0.0,0.0,34.109726,102.599699,-4.751346,42.241577,99.294135,-4.751346,8.131852,-3.305564
5.554651,0.0,0.0,0.0,39.508954,99.887773,-7.632615,49.589417,92.588571,-7.632615,10.080463,-7.299202
8.884378,0.0,7.281786,43.500642,36.169885,87.313572,44.522805,62.584284,60.425013,1.022163,26.414399,-26.888559
5.077372,0.0,4.854072,30.566972,19.271542,101.641203,38.631509,32.835591,97.140829,8.064537,13.564048,-4.500374
0.0,7.511066,0.0,-44.687477,-25.800327,91.732156,-61.687915,-17.515052,78.212592,-17.000438,8.285275,-13.519564
0.412371,0.0,9.507611,54.209198,-28.582762,82.346613,69.333264,-34.583086,55.658075,15.124066,-6.000324,-26.688538
9.775024,2.363923,0.0,-13.73845,57.666261,84.56569,-30.911602,68.497014,57.837042,-17.173153,10.830753,-26.728648
0.0,1.555798,0.387149,-7.44387,-7.145214,109.352084,-7.132253,-5.614111,109.486537,0.311617,1.531103,0.134453
0.0,0.0,7.920319,46.701762,-26.963275,89.75823,59.078937,-35.123825,74.276217,12.377176,-8.160551,-15.482013
6.278383,0.0,6.884186,42.434853,20.187848,95.223407,51.361372,38.01641,80.317325,8.926519,17.828561,-14.906082
7.384693,8.147065,0.0,-49.12431,23.053926,89.45798,-64.237387,34.021175,65.44508,-15.113077,10.967248,-24.0129
